Year,SGMA_2040,SGMA_2060,SGMA_2080,SGMA_2100
0,413,413,413,413
1,412.9260693,412.9261676,412.9262581,412.9261572
2,412.8521348,412.8523361,412.8525223,412.8523173
3,412.7781963,412.7785055,412.7787925,412.7784758
4,412.7042536,412.7046758,412.7050691,412.7046349
5,412.6303063,412.6308471,412.6313523,412.6307946
6,412.5563541,412.5570191,412.5576425,412.5569548
7,412.4823968,412.4831921,412.4839401,412.483118
8,412.4084341,412.4093661,412.4102454,412.4092792
9,412.3344656,412.335541,412.3365588,412.3354436
10,412.260491,412.2617169,412.2628805,412.2616039
11,412.1865099,412.1878937,412.189211,412.1877732
12,412.112522,412.1140713,412.1155506,412.1139348
13,412.0385268,412.0402499,412.0418998,412.0401028
14,411.964524,411.9664293,411.9682588,411.9662707
15,411.890513,411.8926096,411.8946281,411.8924359
16,411.8164934,411.8187907,411.8210082,411.8186053
17,411.7424646,411.7449727,411.7473996,411.7447742
18,411.6684263,411.6711557,411.673803,411.6709418
19,411.5943779,411.5973397,411.6002189,411.5971125
20,411.5203188,411.5235245,411.526648,411.5232836
21,411.5203189,411.4497102,411.453091,411.4494522
22,411.5203191,411.3758841,411.3795221,411.3756226
23,411.5203192,411.302046,411.3059414,411.3017962
24,411.5203192,411.2281961,411.2323487,411.2279686
25,411.5203192,411.1543342,411.1587442,411.1541361
26,411.5203192,411.0804605,411.0851278,411.0803018
27,411.5203192,411.0065749,411.0114995,411.0064718
28,411.5203192,410.9326774,410.9378593,410.932647
29,411.5203192,410.858768,410.8642072,410.8588221
30,411.5203192,410.7848467,410.7905432,410.7849916
31,411.5203192,410.7109136,410.7168674,410.7111559
32,411.5203192,410.6369685,410.6431796,410.6373207
33,411.5203192,410.5630116,410.56948,410.563491
34,411.5203192,410.4890428,410.4957685,410.4896666
35,411.5203192,410.4150621,410.422045,410.4158426
36,411.5203192,410.3410695,410.3483098,410.3420133
37,411.5203192,410.267065,410.2745626,410.268177
38,411.5203192,410.1930486,410.2008035,410.1943362
39,411.5203192,410.1190204,410.1270325,410.1204957
40,411.5203192,410.0449802,410.0532497,410.0466589
41,411.5203192,410.0449802,409.979455,409.972826
42,411.5203192,410.0449802,409.9056483,409.8989939
43,411.5203192,410.0449802,409.8318298,409.8251588
44,411.5203192,410.0449802,409.7579994,409.7513183
45,411.5203192,410.0449802,409.6841571,409.6774726
46,411.5203192,410.0449802,409.610303,409.6036241
47,411.5203192,410.0449802,409.5364369,409.5297758
48,411.5203192,410.0449802,409.462559,409.4559297
49,411.5203192,410.0449802,409.3886691,409.3820859
50,411.5203192,410.0449802,409.3147674,409.3082423
51,411.5203192,410.0449802,409.2408538,409.2343962
52,411.5203192,410.0449802,409.1669283,409.1605451
53,411.5203192,410.0449802,409.0929909,409.086688
54,411.5203192,410.0449802,409.0190416,409.0128254
55,411.5203192,410.0449802,408.9450805,408.9389595
56,411.5203192,410.0449802,408.8711074,408.8650931
57,411.5203192,410.0449802,408.7971225,408.7912279
58,411.5203192,410.0449802,408.7231257,408.7173646
59,411.5203192,410.0449802,408.649117,408.6435018
60,411.5203192,410.0449802,408.5750964,408.5696367
61,411.5203192,410.0449802,408.5750964,408.4957654
62,411.5203192,410.0449802,408.5750964,408.4218847
63,411.5203192,410.0449802,408.5750964,408.3479924
64,411.5203192,410.0449802,408.5750964,408.2740883
65,411.5203192,410.0449802,408.5750964,408.2001744
66,411.5203192,410.0449802,408.5750964,408.1262548
67,411.5203192,410.0449802,408.5750964,408.0523342
68,411.5203192,410.0449802,408.5750964,407.9784172
69,411.5203192,410.0449802,408.5750964,407.9045067
70,411.5203192,410.0449802,408.5750964,407.8306031
71,411.5203192,410.0449802,408.5750964,407.7567031
72,411.5203192,410.0449802,408.5750964,407.6828006
73,411.5203192,410.0449802,408.5750964,407.6088866
74,411.5203192,410.0449802,408.5750964,407.5349518
75,411.5203192,410.0449802,408.5750964,407.4609883
76,411.5203192,410.0449802,408.5750964,407.386993
77,411.5203192,410.0449802,408.5750964,407.3129713
78,411.5203192,410.0449802,408.5750964,407.2389409
79,411.5203192,410.0449802,408.5750964,407.1649351
80,411.5203192,410.0449802,408.5750964,407.0910072
81,411.5203192,410.0449802,408.5750964,407.0910072
82,411.5203192,410.0449802,408.5750964,407.0910072
83,411.5203192,410.0449802,408.5750964,407.0910072
84,411.5203192,410.0449802,408.5750964,407.0910072
85,411.5203192,410.0449802,408.5750964,407.0910072
86,411.5203192,410.0449802,408.5750964,407.0910072
87,411.5203192,410.0449802,408.5750964,407.0910072
88,411.5203192,410.0449802,408.5750964,407.0910072
89,411.5203192,410.0449802,408.5750964,407.0910072
90,411.5203192,410.0449802,408.5750964,407.0910072
91,411.5203192,410.0449802,408.5750964,407.0910072
92,411.5203192,410.0449802,408.5750964,407.0910072
93,411.5203192,410.0449802,408.5750964,407.0910072
94,411.5203192,410.0449802,408.5750964,407.0910072
95,411.5203192,410.0449802,408.5750964,407.0910072
96,411.5203192,410.0449802,408.5750964,407.0910072
97,411.5203192,410.0449802,408.5750964,407.0910072
98,411.5203192,410.0449802,408.5750964,407.0910072
99,411.5203192,410.0449802,408.5750964,407.0910072