t,Height,Change in height,Withdrawals
2020,413,,524398.1
2021,412.5521766,0.44782344,524400.9213
2022,412.1043473,0.447829308,524403.7426
2023,411.6565121,0.447835176,524406.564
2024,411.208671,0.447841044,524409.3854
2025,410.7608241,0.447846912,524412.2068
2026,410.3129713,0.447852781,524415.0283
2027,409.8651127,0.447858649,524417.8498
2028,409.4172482,0.447864517,524420.6713
2029,408.9693778,0.447870386,524423.4929
2030,408.5215015,0.447876254,524426.3145
2031,408.0736194,0.447882123,524429.1362
2032,407.6257314,0.447887992,524431.9579
2033,407.1778376,0.44789386,524434.7796
2034,406.7299378,0.447899729,524437.6014
2035,406.2820322,0.447905598,524440.4232
2036,405.8341208,0.447911467,524443.245
2037,405.3862034,0.447917336,524446.0669
2038,404.9382802,0.447923205,524448.8888
2039,404.4903511,0.447929075,524451.7108
2040,404.0424162,0.447934944,524454.5328
2041,403.5944754,0.447940813,524457.3548
2042,403.1465287,0.447946683,524460.1769
2043,402.6985762,0.447952552,524462.999
2044,402.2506177,0.447958422,524465.8211
2045,401.8026534,0.447964292,524468.6433
2046,401.3546833,0.447970161,524471.4655
2047,400.9067072,0.447976031,524474.2877
2048,400.4587253,0.447981901,524477.11
2049,400.0107376,0.447987771,524479.9324
2050,399.5627439,0.447993641,524482.7547
2051,399.1147444,0.447999511,524485.5771
2052,398.666739,0.448005381,524488.3995
2053,398.2187278,0.448011252,524491.222
2054,397.7707107,0.448017122,524494.0445
2055,397.3226877,0.448022993,524496.8671
2056,396.8746588,0.448028863,524499.6896
2057,396.4266241,0.448034734,524502.5123
2058,395.9785835,0.448040604,524505.3349
2059,395.530537,0.448046475,524508.1576
2060,395.0824847,0.448052346,524510.9803
2061,394.6344264,0.448058217,524513.8031
2062,394.1863623,0.448064088,524516.6259
2063,393.7382924,0.448069959,524519.4488
2064,393.2902166,0.44807583,524522.2716
2065,392.8421349,0.448081701,524525.0946
2066,392.3940473,0.448087573,524527.9175
2067,391.9459538,0.448093444,524530.7405
2068,391.4978545,0.448099316,524533.5635
2069,391.0497493,0.448105187,524536.3866
2070,390.6016383,0.448111059,524539.2097
2071,390.1535213,0.44811693,524542.0328
2072,389.7053985,0.448122802,524544.856
2073,389.2572699,0.448128674,524547.6792
2074,388.8091353,0.448134546,524550.5024
2075,388.3609949,0.448140418,524553.3257
2076,387.9128486,0.44814629,524556.1491
2077,387.4646965,0.448152162,524558.9724
2078,387.0165384,0.448158034,524561.7958
2079,386.5683745,0.448163907,524564.6192
2080,386.1202047,0.448169779,524567.4427
2081,385.6720291,0.448175651,524570.2662
2082,385.2238476,0.448181524,524573.0898
2083,384.7756602,0.448187397,524575.9133
2084,384.3274669,0.448193269,524578.737
2085,383.8792678,0.448199142,524581.5606
2086,383.4310627,0.448205015,524584.3843
2087,382.9828519,0.448210888,524587.208
2088,382.5346351,0.448216761,524590.0318
2089,382.0864125,0.448222634,524592.8556
2090,381.6381839,0.448228507,524595.6794
2091,381.1899496,0.44823438,524598.5033
2092,380.7417093,0.448240253,524601.3272
2093,380.2934632,0.448246127,524604.1512
2094,379.8452112,0.448252,524606.9752
2095,379.3969533,0.448257874,524609.7992
2096,378.9486896,0.448263747,524612.6233
2097,378.5004199,0.448269621,524615.4474
2098,378.0521445,0.448275495,524618.2715
2099,377.6038631,0.448281369,524621.0957
2100,377.1555758,0.448287243,524623.9199